x, y
2.982568526826908, 5.953791967060997
3.2657865541748534, 70.20301720615451
3.9656580770255188, 163.65465746207627
4.965512442175554, 387.23410791070444
5.986691370223024, 714.602830347792
6.990772154208235, 1186.554225149258
7.2393336685391105, 1322.317055288399
7.583272238175268, 1505.8384544541436
7.984567701148787, 1755.6666073557515
8.308725100601059, 1986.5466615585867
8.699164599090606, 2300.6436007096445
8.993863962478368, 2530.1761186434687
9.549032400345759, 3046.3404682239357
9.976967477284537, 3434.726502300085
10.070084694792875, 3538.3476944958506
10.32574872995896, 3789.018419806523
10.642982112690023, 4158.142654536329
10.919619774094047, 4482.372921533977
11.216559546259543, 4847.24408547495
11.381310343284, 5002.895754014644
11.653650548501359, 5003.919809130906
12.077395028859131, 5006.710151034184
12.529565378635844, 5006.760864764738
12.993994225220804, 5002.05028367812
