x, y
2.982568526826908, 4.167654376942698
3.2657865541748534, 49.14211204430815
3.9656580770255188, 114.55826022345339
4.965512442175554, 271.0638755374931
5.986691370223024, 500.2219812434543
6.990772154208235, 830.5879576044804
7.2393336685391105, 925.6219387018791
7.583272238175268, 1054.0869181179005
7.984567701148787, 1228.966625149026
8.308725100601059, 1390.5826630910105
8.699164599090606, 1610.450520496751
8.993863962478368, 1771.123283050428
9.549032400345759, 2132.438327756755
9.976967477284537, 2404.3085516100596
10.070084694792875, 2476.8433861470953
10.32574872995896, 2652.312893864566
10.642982112690023, 2910.69985817543
10.919619774094047, 3137.661045073784
11.216559546259543, 3393.070859832465
11.381310343284, 3502.0270278102507
11.653650548501359, 3502.743866391634
12.077395028859131, 3504.6971057239284
12.529565378635844, 3504.7326053353163
12.993994225220804, 3501.4351985746835
25.0, 3500.0
